No,ANCHOR,TENANT,Site ID DMT,Project ID Actual,Tower Owner,Site ID Tenant,Site Name Owner,Site Name Actual,Address,City,Province,Longitude,Latitude,Site Source,Last Survey Audit,NPA,Name Of Tenant,Count Number Of Tenant,Tenant Start Lease,Tenant End Lease,Tenant Rental Price/Month,Class Of Service,Site Type,longitude_decimal,latitude_decimal
1446,,TENANT,KPN-07-044,17XL10C0151,MITRATEL,JAW-JI-KPN-3542,SELOREJO MALANG,SELOREJO MALANG,Jl Brawijaya Rt11 Rw03  Desa Tegalweru KecDau Malang MALANG 60235,Malang,Jawa Timur,11255488.0,-794102.0,ORGANIC,2099-12-31,NO,XL,3,2022-12-18 00:00:00,2027-12-17 00:00:00,12083333.0,Full Maintenance,GREENFIELD,112.55488,-7.94102
1447,,TENANT,KPN-07-044,20IS01C0085,MITRATEL,20BTU358,Tegalweru_Btu_BTU,Tegalweru_Btu_BTU,Jl Brawijaya Rt11 Rw03  Desa Tegalweru KecDau Malang MALANG 60235,Malang,Jawa Timur,11255488.0,-794102.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2030-07-09 00:00:00,12056100.0,Full Maintenance,GREENFIELD,112.55488,-7.94102
1448,ANCHOR,TENANT,KPN-07-045,11TS01B0563,MITRATEL,BTU129,Sumber Bening (Gebutan Bantur),Sumber Bening (Gebutan Bantur),Dsn Krajan Rt 15 Rw 03  Kel Sumber Bening Kec Bantur Malang Malang 60235,Malang,Jawa Timur,112541078.0,-8332115.0,ORGANIC,2099-12-31,NO,TSEL,2,2021-06-15 00:00:00,2026-06-14 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,112.541078,-8.332115
1449,,TENANT,KPN-07-045,24IS12C0190,MITRATEL,16BTU0368,SUMBERBENING_BANTUR_MT,Sumber Bening (Gebutan Bantur),Dsn Krajan Rt 15 Rw 03  Kel Sumber Bening Kec Bantur Malang Malang 60235,Malang,Jawa Timur,1125411.0,-83321.0,ORGANIC,2099-12-31,NO,IOH,2,2025-05-28 00:00:00,2035-05-27 00:00:00,12000000.0,Minimum Maintenance,GREENFIELD,112.5411,-8.3321
1450,ANCHOR,TENANT,KPN-07-046,10HC06B0203,MITRATEL,132110,Pagelaran,Pagelaran,Rt 29 Rw 04  Desa Kademangan Kec Pagelaran Malang Malang 60235,Malang,Jawa Timur,112589453.0,-8205548.0,ORGANIC,2099-12-31,NO,IOH,2,2022-04-01 00:00:00,2023-02-17 00:00:00,12273807.0,Full Maintenance,GREENFIELD,112.589453,-8.205548
1451,,TENANT,KPN-07-046,14TS10C0029,MITRATEL,MLG013,PagelaranDMT,Pagelaran,Rt 29 Rw 04  Desa Kademangan Kec Pagelaran Malang Malang 60235,Malang,Jawa Timur,112589453.0,-8205548.0,ORGANIC,2099-12-31,NO,TSEL,2,2022-01-01 00:00:00,2034-09-28 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.589453,-8.205548
1452,ANCHOR,,KPN-07-047,10TF01B0358,MITRATEL,MLG002MT,TAJINAN 2,Tajinan 2,"Tajinan, Ds,TangkilsariRT,08 RW,02 Kec, Tajinan",Malang,Jawa Timur,11265725.0,-806257.0,ORGANIC,2099-12-31,NO,FLEXI,2,2023-06-22 00:00:00,2036-06-21 00:00:00,12083333.0,No Maintenance,GREENFIELD,112.65725,-8.06257
1453,,TENANT,KPN-07-047,11HC04C3250,MITRATEL,132106,Tajinan,Tajinan-2,"Tajinan, Ds,TangkilsariRT,08 RW,02 Kec, Tajinan",Malang,Jawa Timur,11265725.0,-806257.0,ORGANIC,2099-12-31,NO,IOH,2,2022-04-01 00:00:00,2023-07-03 00:00:00,12273807.0,Full Maintenance,GREENFIELD,112.65725,-8.06257
1454,,TENANT,KPN-07-047,14TS07C0121,MITRATEL,MLG549,Jambearjo,Tajinan 2,"Tajinan, Ds,TangkilsariRT,08 RW,02 Kec, Tajinan",Malang,Jawa Timur,11265725.0,-806257.0,ORGANIC,2099-12-31,NO,TSEL,2,2022-01-01 00:00:00,2034-10-28 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.65725,-8.06257
1455,ANCHOR,TENANT,KPN-07-048,11TS01B0373,MITRATEL,MLG064,kalimantan malang,Kalimantan Malang (Ex Kasin),Jalan Johar Rt.7 Rw.9 No.2B Kel. Bandung Rejosari Kec. Sukun Malang Malang 60235,"Malang, Kota",Jawa Timur,112623542.0,-7999797.0,ORGANIC,2099-12-31,NO,TSEL,1,2022-01-01 00:00:00,2032-02-23 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.623542,-7.999797
1456,ANCHOR,TENANT,KRS-07-010,11TS03B2298,MITRATEL,PBO074,Betek (AtrKrucil-Maron),Betek (AtrKrucil-Maron),"JALAN GERILYA RT 14 / 03 DESA CONDONG,KECAMATAN GADING, KABUPATEN PROBOLINGGO",Probolinggo,Jawa Timur,11339835.0,-787883.0,ORGANIC,2099-12-31,NO,TSEL,2,2021-06-30 00:00:00,2026-06-29 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,113.39835,-7.87883
1457,,TENANT,KRS-07-010,23XL03C0252,MITRATEL,JAW-JI-KRS-4367,Betek (Atr.Krucil-Maron),BETEK_KRUCIL,"Jalan Gerilya Rt 14 / 03  Desa Condong, Kecamatan Gading, Probolinggo",Probolinggo,Jawa Timur,11339835.0,-787883.0,ORGANIC,2099-12-31,NO,XL,2,2023-06-22 00:00:00,2036-06-21 00:00:00,12083333.0,Minimum Maintenance,GREENFIELD,113.39835,-7.87883
1459,ANCHOR,,KRS-07-011,10NT04B0289,MITRATEL,JTKP005,KANIGARAN,Kanigaran,Jl Hasan Genggong Rt 03 Rw 04  Sukoharjo Kanigaran Probolinggo Probolinggo 60235,"Probolinggo, Kota",Jawa Timur,11322915.0,-776524.0,ORGANIC,2099-12-31,NO,NTS,3,2009-03-04 00:00:00,2019-03-03 00:00:00,11890697.0,No Maintenance,GREENFIELD,113.22915,-7.76524
1460,,TENANT,KRS-07-011,12TS05C0009,MITRATEL,PBO082,Sukoharjo Mayangan,Sukoharjo Mayangan,Jl Hasan Genggong Rt 03 Rw 04  Sukoharjo Kanigaran Probolinggo Probolinggo 60235,"Probolinggo, Kota",Jawa Timur,11322915.0,-776524.0,ORGANIC,2099-12-31,NO,TSEL,3,2022-01-01 00:00:00,2032-06-28 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,113.22915,-7.76524
1461,,,KRS-07-011,14HC07C0002,MITRATEL,630089,Kanigaran Probolinggo,Kanigaran,Jl. Hasan Genggong Rt 03 Rw 04  Sukoharjo Kanigaran Probolinggo Probolinggo 60235,"Probolinggo, Kota",Jawa Timur,11322915.0,-776524.0,ORGANIC,2099-12-31,NO,IOH,3,2022-04-01 00:00:00,2024-10-07 00:00:00,11037400.0,No Maintenance,GREENFIELD,113.22915,-7.76524
1462,,TENANT,KRS-07-011,16IS09C0032,MITRATEL,20PBO018,SUKOHARJO,SUKOHARJO,Jl Hasan Genggong Rt 03 Rw 04  Sukoharjo Kanigaran Probolinggo Probolinggo 60235,"Probolinggo, Kota",Jawa Timur,11322915.0,-776524.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2031-12-27 00:00:00,10700000.0,Full Maintenance,GREENFIELD,113.22915,-7.76524
1463,,TENANT,KRS-07-011,17XL03C0205,MITRATEL,2543865,KANIGARAN_PROBOLINGGO,KANIGARAN_PROBOLINGGO,Jl Hasan Genggong Rt 03 Rw 04  Sukoharjo Kanigaran Probolinggo Probolinggo 60235,"Probolinggo, Kota",Jawa Timur,11322915.0,-776524.0,ORGANIC,2099-12-31,NO,XL,3,2022-04-28 00:00:00,2027-04-27 00:00:00,9666666.0,Full Maintenance,GREENFIELD,113.22915,-7.76524
1465,ANCHOR,TENANT,LMG-07-013,11TS07B5619,MITRATEL,LMG067,Dagan Lamongan Ex Ds Sumber tlaseh,Dagan Lamongan,Desa Dagan Rt 01 Rw 03  Kelurahan Dagan Kec Solokuro Lamongan Lamongan 60235,Lamongan,Jawa Timur,11241604.0,-69191.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-09-30 00:00:00,2026-09-29 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,112.41604,-6.9191
1466,,TENANT,LMG-07-013,18XL02C0449,MITRATEL,JAW-JI-LMG-3537,Bluri Solokuro,Bluri Solokuro,Desa Dagan Rt 01 Rw 03  Kelurahan Dagan Kec Solokuro Lamongan Lamongan 60235,Lamongan,Jawa Timur,11241604.0,-69191.0,ORGANIC,2099-12-31,NO,XL,3,2022-04-20 00:00:00,2028-04-19 00:00:00,11479167.0,Full Maintenance,GREENFIELD,112.41604,-6.9191
1467,,,LMG-07-013,18HC11C0081,MITRATEL,139758,Dagan Lamongan,Dagan Lamongan,Desa Dagan Rt 01 Rw 03  Kelurahan Dagan Kec. Solokuro Lamongan Lamongan 60235,Lamongan,Jawa Timur,11241604.0,-69191.0,ORGANIC,2099-12-31,NO,IOH,3,2022-04-01 00:00:00,2031-01-21 00:00:00,12095982.0,No Maintenance,GREENFIELD,112.41604,-6.9191
1468,ANCHOR,,MGT-07-013,10TF01B0380,MITRATEL,MGT001MT,Tanjung Bendo,TANJUNG BEDNO,"Dsn Pingkuk, Rt23, Rw05 Kel Mbodri, Kec Bendo",Magetan,Jawa Timur,111444936.0,-7663084.0,ORGANIC,2099-12-31,YES,FLEXI,0,2021-04-13 00:00:00,2029-12-31 00:00:00,12500000.0,No Maintenance,GREENFIELD,111.444936,-7.663084
1469,ANCHOR,TENANT,MGT-07-014,11TS01B0560,MITRATEL,MGT024,Sumberagung (Ngariboyo-Plaosan),Sumberagung (Ngariboyo-Plaosan,Ds Sumberagung Rt02 Rw01  Kel Sumber Agung Kec Plaosan Magetan Magetan 60235,Magetan,Jawa Timur,11129207.0,-76812.0,ORGANIC,2099-12-31,NO,TSEL,1,2021-06-30 00:00:00,2026-06-29 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,111.29207,-7.6812
1470,ANCHOR,TENANT,MGT-07-015,11TS01B0550,MITRATEL,MGT030,Dukuh (Duwet),Dukuh (Duwet),Desa Dukuh RT 016 RW 003  Kel Dukuh Kec Bendo Magetan Magetan 60235,Magetan,Jawa Timur,11139764.0,-765279.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-06-30 00:00:00,2026-06-29 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,111.39764,-7.65279
1471,,,MGT-07-015,12HM01C9819,MITRATEL,132630,Dukuh (Duwet),Dukuh (Duwet),Desa Dukuh RT 016 RW 003  Kel. Dukuh Kec. Bendo Magetan Magetan 60235,Magetan,Jawa Timur,11139764.0,-765279.0,ORGANIC,2099-12-31,NO,IOH,3,2022-04-01 00:00:00,2024-04-12 00:00:00,12273807.0,No Maintenance,GREENFIELD,111.39764,-7.65279
1472,,TENANT,MGT-07-015,17XL03C0203,MITRATEL,2543769,BELOTAN_BAGETAN,Dukuh (Duwet),Desa Dukuh RT 016 RW 003  Kel Dukuh Kec Bendo Magetan Magetan 60235,Magetan,Jawa Timur,11139764.0,-765279.0,ORGANIC,2099-12-31,NO,XL,3,2022-06-07 00:00:00,2027-06-06 00:00:00,9666666.0,Full Maintenance,GREENFIELD,111.39764,-7.65279
1473,,TENANT,MGT-07-015,21IS03C0070,MITRATEL,20MGT099,KEDUNGGUWO_MGT,Dukuh (Duwet),Desa Dukuh RT 016 RW 003  Kel Dukuh Kec Bendo Magetan Magetan 60235,Magetan,Jawa Timur,11139764.0,-765279.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2031-07-15 00:00:00,12000000.0,Minimum Maintenance,GREENFIELD,111.39764,-7.65279
1474,ANCHOR,,MJK1-07-011,10TF01B0376,MITRATEL,MJK002MT,Puri,Puri,Jl Raya Dinoyo Brangkal  Desa Tirim Lor Kec Puri Mojokerto Mojokerto 60235,Mojokerto,Jawa Timur,112434933.0,-7553811.0,ORGANIC,2099-12-31,NO,FLEXI,1,2022-01-01 00:00:00,2032-10-30 00:00:00,14000000.0,No Maintenance,GREENFIELD,112.434933,-7.553811
1475,,TENANT,MJK1-07-011,12HM01C9758,MITRATEL,133301,Puri,Puri,Jl Raya Dinoyo Brangkal  Desa Tirim Lor Kec Puri Mojokerto Mojokerto 60235,Mojokerto,Jawa Timur,112434933.0,-7553811.0,ORGANIC,2099-12-31,NO,IOH,1,2011-09-09 00:00:00,2021-09-08 00:00:00,16900000.0,Full Maintenance,GREENFIELD,112.434933,-7.553811
1476,,TENANT,MJK1-07-011,20IS06C0061,MITRATEL,20MJK189,POHGARON_MJK,POHGARON_MJK,Jl Raya Dinoyo Brangkal  Desa Tirim Lor Kec Puri Mojokerto Mojokerto 60235,Mojokerto,Jawa Timur,112434933.0,-7553811.0,ORGANIC,2099-12-31,NO,IOH,1,2022-01-01 00:00:00,2030-12-01 00:00:00,12056100.0,Full Maintenance,GREENFIELD,112.434933,-7.553811
1477,ANCHOR,,MJK1-07-012,10TF01B0375,MITRATEL,MJK001MT,PANDAN,Pandan,Desa Kuripan Sari Kec Pacet Jl Raya Ke Arah Jubel Pandan,Mojokerto,Jawa Timur,112537226.0,-7607267.0,ORGANIC,2099-12-31,NO,FLEXI,1,2022-10-01 00:00:00,2032-04-09 00:00:00,11071628.0,No Maintenance,GREENFIELD,112.537226,-7.607267
1478,,TENANT,MJK1-07-012,18BS03C0047,MITRATEL,JI02056,Pandan,Pandan,Desa Kuripan Sari Kec Pacet Jl Raya Ke Arah Jubel Pandan,Mojokerto,Jawa Timur,112537226.0,-7607267.0,ORGANIC,2099-12-31,NO,IBS,1,2022-01-01 00:00:00,2028-06-09 00:00:00,7500000.0,No Maintenance,GREENFIELD,112.537226,-7.607267
1479,ANCHOR,,MJY-07-012,10TF05B0381,MITRATEL,MAD001MT,Pencol,Pencol,RT06 RW03  Ds Golan Kec Sawahan Madiun Madiun 60235,Madiun,Jawa Timur,11149852.0,-756131.0,ORGANIC,2099-12-31,NO,FLEXI,2,2021-06-24 00:00:00,2026-06-23 00:00:00,12500000.0,No Maintenance,GREENFIELD,111.49852,-7.56131
1480,,TENANT,MJY-07-012,14TS03C0010,MITRATEL,MDU121,PENCOL,Pencol,RT06 RW03  Ds Golan Kec Sawahan Madiun Madiun 60235,Madiun,Jawa Timur,11149852.0,-756131.0,ORGANIC,2099-12-31,NO,TSEL,2,2022-01-01 00:00:00,2024-05-07 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,111.49852,-7.56131
1481,,TENANT,MJY-07-012,19IS05C0113,MITRATEL,20MGT071,SUKOWIDI_MGT,Pencol,RT06 RW03  Ds Golan Kec Sawahan Madiun Madiun 60235,Madiun,Jawa Timur,11149852.0,-756131.0,ORGANIC,2099-12-31,NO,IOH,2,2022-01-01 00:00:00,2029-08-25 00:00:00,12139226.0,Full Maintenance,GREENFIELD,111.49852,-7.56131
1485,ANCHOR,TENANT,PCT-07-015,11TS07B5616,MITRATEL,PCN053,Gendaran (Gedompol ex Gebangan (split kapongan)),Gendaran (Gedompol ex Gebangan,"Dsn Krajan Rt002/Rw001 Ds, Gendaran Kec, Donorojo Kab, Pacitan",Pacitan,Jawa Timur,11096082.0,-810333.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-10-30 00:00:00,2026-10-29 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,110.96082,-8.10333
1486,,TENANT,PCT-07-015,18XL02C0446,MITRATEL,JAW-JI-PCT-2066,Belah Donorojo,Belah Donorojo,"Dsn Krajan Rt002/Rw001 Ds, Gendaran Kec, Donorojo Kab, Pacitan",Pacitan,Jawa Timur,11096082.0,-810333.0,ORGANIC,2099-12-31,NO,XL,3,2022-04-03 00:00:00,2028-04-02 00:00:00,13854167.0,Full Maintenance,GREENFIELD,110.96082,-8.10333
1487,,TENANT,PCT-07-015,19HC10C0365,MITRATEL,PCN053_1,Gendaran (Gedompol ex Gebangan,Gendaran (Gedompol ex Gebangan,"Dsn Krajan Rt002/Rw001 Ds, Gendaran Kec, Donorojo Kab, Pacitan",Pacitan,Jawa Timur,11096082.0,-810333.0,ORGANIC,2099-12-31,NO,IOH,3,2022-10-01 00:00:00,2032-12-13 00:00:00,10787400.0,Full Maintenance,GREENFIELD,110.96082,-8.10333
1488,ANCHOR,,PSR-07-022,10TF01B0379,MITRATEL,PAS003MT,TEBAS,Tebas,Rt07 Rw14  Ds Poh Gading Kec Paserpan Pasuruan Pasuruan 60235,Pasuruan,Jawa Timur,1128919.0,-773018.0,ORGANIC,2099-12-31,NO,FLEXI,3,2022-01-01 00:00:00,2032-01-19 00:00:00,15500000.0,No Maintenance,GREENFIELD,112.8919,-7.73018
1489,,TENANT,PSR-07-022,14IS11C0039,MITRATEL,20PAS089,POH GADING,Tebas,Rt07 Rw14  Ds Poh Gading Kec Paserpan Pasuruan Pasuruan 60235,Pasuruan,Jawa Timur,1128919.0,-773018.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2030-04-26 00:00:00,12107442.0,Full Maintenance,GREENFIELD,112.8919,-7.73018
1490,,TENANT,PSR-07-022,15TS03C0741,MITRATEL,PSN212,TebasDMT,TebasDMT,Rt07 Rw14  Ds Poh Gading Kec Paserpan Pasuruan Pasuruan 60235,Pasuruan,Jawa Timur,1128919.0,-773018.0,ORGANIC,2099-12-31,NO,TSEL,3,2022-01-01 00:00:00,2025-05-03 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.8919,-7.73018
1491,,TENANT,PSR-07-022,17XL02C0206,MITRATEL,2543395,POH_GADING_TEBAS,POH_GADING_TEBAS,Rt07 Rw14  Ds Poh Gading Kec Paserpan Pasuruan Pasuruan 60235,Pasuruan,Jawa Timur,1128919.0,-773018.0,ORGANIC,2099-12-31,NO,XL,3,2022-04-28 00:00:00,2027-04-27 00:00:00,9666666.0,Full Maintenance,GREENFIELD,112.8919,-7.73018
1492,,,PSR-07-022,18HC11C0291,MITRATEL,139514,Tebas,Tebas,Rt.07 Rw.14  Ds. Poh Gading Kec. Paserpan Pasuruan Pasuruan 60235,Pasuruan,Jawa Timur,1128919.0,-773018.0,ORGANIC,2099-12-31,NO,IOH,3,2022-04-01 00:00:00,2031-10-03 00:00:00,12095982.0,No Maintenance,GREENFIELD,112.8919,-7.73018
1495,ANCHOR,,SDA-07-023,09AX12B048,MITRATEL,JTSD075,PILANG,Pilang,"Jl, Rame Banar Rt21/Rw10 Kel Pilang Kec, Wonoayu Kab, Sidoarjo",Sidoarjo,Jawa Timur,11265822.0,-744855.0,ORGANIC,2099-12-31,NO,NTS,1,2022-04-01 00:00:00,2028-09-21 00:00:00,12273807.0,No Maintenance,GREENFIELD,112.65822,-7.44855
1496,,,SDA-07-023,10TF01C0352,MITRATEL,SDJ002MT,PILANG 2,Pilang,"Jl, Rame Banar Rt21/Rw10 Kel Pilang Kec, Wonoayu Kab, Sidoarjo",Sidoarjo,Jawa Timur,11265822.0,-744855.0,ORGANIC,2099-12-31,NO,FLEXI,1,2021-04-13 00:00:00,2026-04-12 00:00:00,13200000.0,No Maintenance,GREENFIELD,112.65822,-7.44855
1497,,TENANT,SDA-07-023,16TS02C0005,MITRATEL,SDA522,Pilang,Pilang,"Jl, Rame Banar Rt21/Rw10 Kel Pilang Kec, Wonoayu Kab, Sidoarjo",Sidoarjo,Jawa Timur,11265822.0,-744855.0,ORGANIC,2099-12-31,NO,TSEL,1,2022-01-01 00:00:00,2026-05-10 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.65822,-7.44855
1498,ANCHOR,,SDA-07-024,10TF03B0346,MITRATEL,SDJ005MT,TULANGAN9/MODONG,Tulangan9 (Modong),"Dsn, Medalem RT,05/RW,01, Ds, Medalem Kec, Tulangan Sidoarjo",Sidoarjo,Jawa Timur,11265871.0,-747065.0,ORGANIC,2099-12-31,NO,FLEXI,1,2022-01-01 00:00:00,2032-04-23 00:00:00,14000000.0,No Maintenance,GREENFIELD,112.65871,-7.47065
1499,,TENANT,SDA-07-024,19HC07C0194,MITRATEL,134531,Tulangan9 (Modong),Tulangan9 (Modong),"Dsn, Medalem RT,05/RW,01, Ds, Medalem Kec, Tulangan Sidoarjo",Sidoarjo,Jawa Timur,11265871.0,-747065.0,ORGANIC,2099-12-31,NO,IOH,1,2022-10-01 00:00:00,2031-11-21 00:00:00,11571628.0,Full Maintenance,GREENFIELD,112.65871,-7.47065
1500,,TENANT,SDA-07-024,23XL07C0123,MITRATEL,JAW-JI-SDA-4358,WONOCOLO_AHMAD_YANI/ TULANGAN_MAKAM_MEDALEM,Tulangan9 (Modong),"Dsn. Medalem Rt.05/Rw.01, Ds. Medalem Kec. Tulangan Sidoarjo Sidoarjo",Sidoarjo,Jawa Timur,11265871.0,-747065.0,ORGANIC,2099-12-31,NO,XL,1,2023-09-21 00:00:00,2036-09-20 00:00:00,12083333.0,Minimum Maintenance,GREENFIELD,112.65871,-7.47065
1501,,,SDA-07-024,23XL07Y0161,MITRATEL,,TULANGAN9/MODONG,Tulangan9 (Modong),"Dsn. Medalem Rt.05/Rw.01, Ds. Medalem Kec. Tulangan Sidoarjo",Sidoarjo,Jawa Timur,112.65871,-7.47065,ORGANIC,2099-12-31,NO,XL,1,2023-09-21 00:00:00,2036-09-20 00:00:00,1000000.0,Full Maintenance,GREENFIELD,112.65871,-7.47065
1502,ANCHOR,,SDA-07-025,09AX09B037,MITRATEL,JTSD072,GANGGANG PANJANG,Ganggang Panjang,Jl Bale Panjang Rt03/Rw01  Kel Ganggang Panjang Sidoarjo Sidoarjo Sidoarjo 60235,Sidoarjo,Jawa Timur,11267315.0,-749211.0,ORGANIC,2099-12-31,NO,NTS,1,2013-01-01 00:00:00,2020-10-07 00:00:00,12500000.0,No Maintenance,GREENFIELD,112.67315,-7.49211
1503,,,SDA-07-025,12HM01C9827,MITRATEL,133078,Ganggang Panjang,Ganggang Panjang,Jl Bale Panjang Rt03/Rw01  Kel Ganggang Panjang Sidoarjo Sidoarjo Sidoarjo 60235,Sidoarjo,Jawa Timur,11267315.0,-749211.0,ORGANIC,2099-12-31,NO,IOH,1,2022-04-01 00:00:00,2024-06-14 00:00:00,12273807.0,No Maintenance,GREENFIELD,112.67315,-7.49211
1504,,TENANT,SDA-07-025,12TS05C0011,MITRATEL,SDA134,Medalam Tulangan,Medalam Tulangan,Jl Bale Panjang Rt03/Rw01  Kel Ganggang Panjang Sidoarjo Sidoarjo Sidoarjo 60235,Sidoarjo,Jawa Timur,11267315.0,-749211.0,ORGANIC,2099-12-31,NO,TSEL,1,2022-01-01 00:00:00,2032-06-29 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.67315,-7.49211
1505,ANCHOR,TENANT,TRK-07-010,11TS10B7606,MITRATEL,TGK063,Suruh Trenggalek Relok,Suruh Trenggalek ,Dsn Jajar RT 04 RW 01 Desa Nglebo Kecamatan Suruh Trenggalek,Trenggalek,Jawa Timur,11160467.0,-811511.0,ORGANIC,2099-12-31,NO,TSEL,2,2022-01-01 00:00:00,2032-06-17 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,111.60467,-8.11511
1506,,TENANT,TRK-07-010,21XL07C0104,MITRATEL,0,SURUH NGLEBO,Suruh Trenggalek_Gamping Treng,Dsn Jajar RT 04 RW 01 Desa Nglebo Kecamatan Suruh Trenggalek,Trenggalek,Jawa Timur,11160467.0,-811511.0,ORGANIC,2099-12-31,NO,XL,2,2021-12-08 00:00:00,2031-12-07 00:00:00,12083333.0,Minimum Maintenance,GREENFIELD,111.60467,-8.11511
1559,,TENANT,PNG-07-022,16TS02C0009,MITRATEL,PRO102,Ponorogo 2,Ponorogo 2,Jl Yos Sudarso GgIi Rt003 Rw07  Kel Brotonegaran KecPonorogo Ponorogo Ponorogo 60235,Ponorogo,Jawa Timur,111458861.0,-7881639.0,ORGANIC,2099-12-31,NO,TSEL,4,2022-01-01 00:00:00,2026-06-29 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,111.458861,-7.881639
1560,,TENANT,PNG-07-022,16IS10C0008,MITRATEL,20PON021,TAMANARUM,TAMANARUM,Jl Yos Sudarso GgIi Rt003 Rw07  Kel Brotonegaran KecPonorogo Ponorogo Ponorogo 60235,Ponorogo,Jawa Timur,111458861.0,-7881639.0,ORGANIC,2099-12-31,NO,IOH,4,2022-01-01 00:00:00,2031-12-26 00:00:00,10700000.0,Full Maintenance,GREENFIELD,111.458861,-7.881639
1561,,TENANT,PNG-07-022,20SF01C0067,MITRATEL,IN20_EJB_0754,Ponorogo 2,Ponorogo 2,Jl Yos Sudarso GgIi Rt003 Rw07  Kel Brotonegaran KecPonorogo Ponorogo Ponorogo 60235,Ponorogo,Jawa Timur,111458861.0,-7881639.0,ORGANIC,2099-12-31,NO,SMART,4,2022-01-01 00:00:00,2026-01-27 00:00:00,10000000.0,Full Maintenance,GREENFIELD,111.458861,-7.881639
1562,,TENANT,PNG-07-022,21XL02C1016,MITRATEL,JAW-JI-PNG-4280,PONOROGO_BROTONEGARAN,PONOROGO_BROTONEGARAN,Jl Yos Sudarso GgIi Rt003 Rw07  Kel Brotonegaran KecPonorogo Ponorogo Ponorogo 60235,Ponorogo,Jawa Timur,111458861.0,-7881639.0,ORGANIC,2099-12-31,NO,XL,4,2022-04-14 00:00:00,2031-04-13 00:00:00,12083333.0,Minimum Maintenance,GREENFIELD,111.458861,-7.881639
1569,,TENANT,SBY-07-047,13HC03C6437,MITRATEL,133627,MANYAR KARTIKA,MANYAR KARTIKA,"Jl Manyar Kartika IX no 24-26, Manyar, Surabaya","Surabaya, Kota",Jawa Timur,11276713.0,-729042.0,ORGANIC,2099-12-31,NO,IOH,2,2022-04-01 00:00:00,2025-05-28 00:00:00,12273807.0,Full Maintenance,GREENFIELD,112.76713,-7.29042
1570,,TENANT,SBY-07-047,17BS01C0013,MITRATEL,ZSBY_0813,Manyar Kartika,Manyar Kartika,"Jl Manyar Kartika IX no 24-26, Manyar, Surabaya","Surabaya, Kota",Jawa Timur,11276713.0,-729042.0,ORGANIC,2099-12-31,NO,IBS,2,2022-01-01 00:00:00,2027-04-07 00:00:00,7500000.0,No Maintenance,GREENFIELD,112.76713,-7.29042
1573,,TENANT,SBY-07-048,14TS07C0151,MITRATEL,SBY460,Mulyorejo 2,MULYOREJO2,"Mulyorejo Utara RT01/01  Mulyorejo Mulyorejo  Surabaya, Kota 60235","Surabaya, Kota",Jawa Timur,11278325.0,-726212.0,ORGANIC,2099-12-31,NO,TSEL,4,2022-01-01 00:00:00,2034-08-05 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.78325,-7.26212
1574,,,SBY-07-048,13HM06C9818,MITRATEL,630323,MULYOREJO,MULYOREJO,"Mulyorejo Utara RT.01/01  Mulyorejo Mulyorejo  Surabaya, Kota 60235","Surabaya, Kota",Jawa Timur,11278325.0,-726212.0,ORGANIC,2099-12-31,NO,IOH,4,2022-04-01 00:00:00,2026-12-04 00:00:00,11537400.0,No Maintenance,GREENFIELD,112.78325,-7.26212
1575,,TENANT,SBY-07-048,15XL11C0005,MITRATEL,3542915G,3G_MULYOREJO UTARA,3G_MULYOREJO UTARA,"Mulyorejo Utara RT01/01  Mulyorejo Mulyorejo  Surabaya, Kota 60235","Surabaya, Kota",Jawa Timur,11278325.0,-726212.0,ORGANIC,2099-12-31,NO,XL,4,2021-10-05 00:00:00,2032-10-04 00:00:00,12300000.0,Full Maintenance,GREENFIELD,112.78325,-7.26212
